# X , Y , E , DX
1
0.304166,0.0766512,0.00107921,0.00585396
0.305958,0.0765278,0.0010926,0.00589514
0.307751,0.0774884,0.00108634,0.00592985
0.309543,0.0765304,0.00115324,0.00596065
0.311336,0.0776214,0.00115741,0.0059879
0.313128,0.0759791,0.00117148,0.00604046
0.31492,0.0784283,0.0012315,0.00606573
0.316713,0.079201,0.00128007,0.00609338
0.318505,0.0781883,0.00132075,0.00613135
0.320298,0.0758029,0.00126745,0.00618666
0.32209,0.0743087,0.00152341,0.00621775
0.323882,0.0746498,0.00140675,0.00626163
0.325675,0.0791327,0.00144602,0.00628237
0.327467,0.0748823,0.00151858,0.00632584
0.32926,0.0744567,0.00161403,0.00637456
0.331052,0.07767,0.00158449,0.00639534
0.332844,0.0761403,0.00192981,0.00645651
0.334637,0.0759165,0.00201292,0.00649168
0.336429,0.076245,0.00192412,0.0065207
0.338222,0.0755751,0.00209932,0.00655735
0.340014,0.0760947,0.0021246,0.00661717
0.341806,0.0672173,0.00168003,0.00667663
0.343599,0.0734369,0.00208098,0.00669221
0.345391,0.0710133,0.00357561,0.00675098
0.347184,0.0738609,0.00223617,0.00676803
0.348976,0.0763489,0.00300915,0.00682931
0.350768,0.0739371,0.00320866,0.00688543
0.352561,0.0733443,0.00250566,0.00689855
0.354353,0.0739351,0.00252867,0.00693933
0.356146,0.0777525,0.00323142,0.00699471
0.357938,0.0698144,0.00242226,0.00704195
0.35973,0.0719617,0.00216063,0.00706022
0.361523,0.0708075,0.00260657,0.00712149
0.363315,0.0708925,0.00255475,0.00714958
0.365108,0.0769922,0.00408433,0.00718147
0.3669,0.0728952,0.00276209,0.00723301
0.368692,0.0742773,0.00288536,0.00726529
0.370485,0.0717681,0.00266604,0.00731097
0.372277,0.0758356,0.00370193,0.00734213
0.37407,0.074747,0.00280874,0.00737295
0.375862,0.0682561,0.00249698,0.00742546
0.377654,0.069896,0.0039246,0.00746857
0.379447,0.069816,0.0030201,0.00748192
0.381239,0.0704057,0.00273731,0.00754941
0.383032,0.0686646,0.0028883,0.00757073
0.384824,0.0676057,0.00256482,0.00762489
0.386616,0.0667859,0.00253386,0.00766704
0.388409,0.0718071,0.00269202,0.00767955
